id;nama;isi_komentar;tanggal;email
1;Wulan;Ada kesalahan di bagian data.;2023-04-04;wulan60@gmail.com
2;Fajar;Mohon segera ditindaklanjuti.;2023-05-05;fajar9@yahoo.com
3;Ahmad;Terima kasih atas informasinya.;2022-06-01;ahmad37@mail.com
4;Wulan;Mohon segera ditindaklanjuti.;2020-06-11;wulan51@gmail.com
5;Ani;Catatan sudah saya baca.;2021-01-12;ani99@gmail.com
6;Ahmad;Informasi sangat membantu.;2020-08-07;ahmad6@gmail.com
7;Budi;Catatan sudah saya baca.;2022-08-24;budi42@yahoo.com
8;Fajar;Ada kesalahan di bagian data.;2023-09-06;fajar87@yahoo.com
9;Ahmad;Sudah saya terima dengan baik.;2023-12-03;ahmad3@mail.com
10;Wulan;Mohon segera ditindaklanjuti.;2022-08-03;wulan1@mail.com
